pair_id,name_1,name_2,is_duplicate
1,Iko Industries Ltd.,"Enormous Industrial Trade Pvt., Ltd.",0
2,Apcotex Industries Ltd.,Technocraft Industries (India) Ltd.,0
3,"Rishichem Distributors Pvt., Ltd.",Dsa,0
4,Powermax Rubber Factory,Co. One,0
5,Tress A/S,Longyou Industries Park Zhejiang,0
6,Wpt Mexico Sa De Cv,Hopkins Mfg. De Mexico S De Rl De Cv,0
7,National Bank Of,Action International,0
8,Citibank Korea Inc.,Kyor,0
9,Prettl Electric Del Bajio S.A. De C.V.,Bva Inc.,0
10,"Beijing Zhongyi Rongda Tech Trading Co., Ltd.",N J International Inc.,0
11,R.I.Intl,"Rass Mfg. India Pvt., Ltd.",0
12,Angle Industries Ltd.,Cba Industries Sdn Bhd,0
13,Bestocean Worldwide Logistics Inc.,"Mandate Logistics Pte., Ltd.",0
14,Uni Trans Illinois Consolidated Inc.,"Suntrans International, Inc.",0
15,Warehouse Jonesboro,S K International,0
16,Ktn Underwood Arlanxeo Usa Llc,A.L.,0
17,Wynn Express Corp,Rfe International Inc.,0
18,Parker Industrials De Rl De Cv,Formiline Industria De Laminados Ltda,0
19,Air Sea Transport (Chicago) Inc.,Aspire,0
20,"Shanghai Scientific Instruments And Materials Co., Ltd.",Arue,0
21,Faj International,Fabrice,0
22,Galata Chemicals Llc,"Zhangjiagang Yuansheng Chemical Industry Co., Ltd.",0
23,Battery Technology Inc.,"Shenzhen City Step Mai Technology Co., Ltd.",0
24,Ksb Shipping & Logistics Llc,Oia Global Logistics,0
25,H.R. International,A&R,0
26,S.R. International,Cala Trading Group S. De R.L. De C.V.,0
27,D S International,Polymer Products. Sri Indassara,0
28,"Huizhou City Sanhe Industrial Co., Ltd.",Gehr Industries,0
29,Palziv North America,Hasco America Inc.,0
30,Salnik Solutions,A.L.,0
31,"Qingdao Dongyong Changshi Logistics Co., Ltd.",Tri Net Logistics,0
32,Hyundai Polytech India Private Ltd.,Bmw India Private Ltd.,0
33,Ametek Lamb Motores De Mexico Sa De Cv,Fast Rite International De Mexico,0
34,"Precision Adhesive Tapes Pvt., Ltd.",Rtp Co.,0
35,"Ask Automotive Pvt., Ltd.",Toyoda Gosei Automative Sealing Mex,0
36,"Lord Fine Chemical (Shanghai) Co., Ltd.",A S International,0
37,Nri Inc.,Waterville Tg Inc. Usine Waterville,0
38,"Guangzhou Rihang Electronics Co., Ltd.",Elmec Sa,0
39,Vc Imp.,Shanghai Songjiang Angstroms Chi Automotive Carpet Acoustic Components Ltd.,0
40,Isoliererzeugnisse GroBrohrsdorf Gmbh,TOTAL RUMUNIA,0
41,Bpi Brake Mfg. Juarez Sa De Cv,G B Corporation,0
42,Sikamyanmar Ltd.,Pam Sp A,0
43,Giltec Lda,O.O.Johnson Logistic International,0
44,"Junky Enterprise Co. Pte., Ltd.",Winners Only (Canada) Enterprises,0
45,Elite Int.Engineering And Trading L,Taeil Engineering,0
46,Dsi,Logistics Solutions Ltd.,0
47,Kingdom Imp. & Exp. . Private Ltd.,"Sarash Imp. & Exp. Pvt., Ltd.",0
48,Oz Ka Lastik Kaucuk San Tic A.S.,Al Tec International,0
49,Pt Pulcra Chemicals Indonesia,Espa,0
50,Rim Logistics Los Angeles Office,Usa.,0
51,"Shanghai Asakawagumi International Transport Co., Ltd.","Shanghai Maostart International Trade Co., Ltd.",0
52,Infinite Cr Strips Industries Ltd.,Jenessco Industries Inc.,0
53,Esterline Defense Technologies,The Home Fashion Technologies,0
54,Hindustan Rubber Trading Co.,Shah Trading,0
55,"Dongguan Best Foison Imp. & Exp. Co., Ltd.",Dongguan Silk Imp.& Exp.Co. Ltd.Of Guangdong,0
56,"Parker Hannifin India Pvt., Ltd.",Fns Inc.,0
57,Asfaltos Mesoamericanos Sa De Cv,Posco International America Corp.,0
58,IKO SLOVAKIA,PROBISA,0
59,Smarti Distribuidora Ltda,Dsa,0
60,Best United India Comforts Private Ltd.,Ldpe India,0
61,Bitumenka D.D.,MARTIN ASPHALT,0
62,"Shanghai Longchou Plastic Mould Co., Ltd.",Sto Corp,0
